Location Type,MaxDepth_mTVD,Petrographic term,Homogeneous / Inhomogenous,Consolidated / Unconsolidated,Value effective porosity (%),Min effective porosity (%),Max effective porosity (%),Measuring Type effective porosity,Remarks effective porosity
borehole,6,Monzodiorite (QAPF),Homogeneous,consolidated,1.35,,,Archimedean weighing,96 h saturation under vacuum
borehole,6,Monzodiorite (QAPF),Homogeneous,consolidated,1.37,,,Archimedean weighing,96 h saturation under vacuum
borehole,6,Monzodiorite (QAPF),Homogeneous,consolidated,1.35,,,Archimedean weighing,96 h saturation under vacuum
borehole,6,Monzodiorite (QAPF),Homogeneous,consolidated,1.38,,,Archimedean weighing,96 h saturation under vacuum
borehole,6,Monzodiorite (QAPF),Homogeneous,consolidated,1.4,,,Archimedean weighing,96 h saturation under vacuum
borehole,6,Monzodiorite (QAPF),Homogeneous,consolidated,1.38,,,Archimedean weighing,96 h saturation under vacuum
borehole,434.5,Granodiorite (QAPF),Homogeneous,consolidated,0.46,,,Archimedean weighing,96 h saturation under vacuum
borehole,434.5,Granodiorite (QAPF),Homogeneous,consolidated,0.54,,,Archimedean weighing,96 h saturation under vacuum
borehole,434.5,Granodiorite (QAPF),Homogeneous,consolidated,0.46,,,Archimedean weighing,96 h saturation under vacuum
borehole,434.5,Granodiorite (QAPF),Homogeneous,consolidated,0.38,,,Archimedean weighing,96 h saturation under vacuum
borehole,470.5,Monzodiorite (QAPF),Homogeneous,consolidated,0.82,,,Archimedean weighing,96 h saturation under vacuum
borehole,470.5,Monzodiorite (QAPF),Homogeneous,consolidated,0.77,,,Archimedean weighing,96 h saturation under vacuum
borehole,470.5,Monzodiorite (QAPF),Homogeneous,consolidated,0.68,,,Archimedean weighing,96 h saturation under vacuum
borehole,470.5,Monzodiorite (QAPF),Homogeneous,consolidated,0.71,,,Archimedean weighing,96 h saturation under vacuum
borehole,470.5,Monzodiorite (QAPF),Homogeneous,consolidated,0.62,,,Archimedean weighing,96 h saturation under vacuum
borehole,470.5,Monzodiorite (QAPF),Homogeneous,consolidated,0.48,,,Archimedean weighing,96 h saturation under vacuum
borehole,562,Granodiorite (QAPF),Homogeneous,consolidated,0.42,,,Archimedean weighing,96 h saturation under vacuum
borehole,562,Granodiorite (QAPF),Homogeneous,consolidated,0.44,,,Archimedean weighing,96 h saturation under vacuum
borehole,562,Granodiorite (QAPF),Homogeneous,consolidated,0.45,,,Archimedean weighing,96 h saturation under vacuum
borehole,562,Granodiorite (QAPF),Homogeneous,consolidated,0.35,,,Archimedean weighing,96 h saturation under vacuum
borehole,452,Monzodiorite (QAPF),Homogeneous,consolidated,0.62,,,Archimedean weighing,96 h saturation under vacuum
